"Species","dryWeight.mean","dryWeight.max","dryWeight.sd","nsamples","trait.db.name","taxonID"
"Acanthomysis",1.29998528762689,1.29998528762689,NA,1,"Acanthomysis",3460
"Acartia arbruta",0.007212771495732,0.00890605988384491,0.00152902276929272,332,"Acartia (Acanthacartia) tonsa",334
"Acartia californiensis",0.0041954197035605,0.00500336046598462,0.000951368371748227,13,"Acartia (Acanthacartia) californiensis",323
"Acartia danae",0.00624361619274588,0.00701384147476879,0.00110669140735546,114,"Acartia (Acartia) danae",337
"Acartia hudsonica",0.00428009203703525,0.0045541354488027,0.000241240828108364,491,"Acartia (Acartiura) hudsonica",350
"Acartia longiremis",0.00555615154349441,0.00701754385964912,0.000713844521318527,2684,"Acartia (Acartiura) longiremis",352
"Aeginidae",3.92874048196186,21.0893271461717,3.42796244183565,192,"Aeginidae",3067
"Aegisthus mucronatus",0.277309017890344,0.294105437941054,0.061068526242719,71,"Aegisthus mucronatus",3650
"Aequorea",72.7046737212002,83.4904458598726,25.6378367250238,168,"Aequorea",3072
"Aetideopsis multiserrata",0.213345039508341,0.213345039508341,NA,1,"Aetideopsis multiserrata",405
"Aetideopsis rostrata",0.624979232430636,0.624979232430636,NA,1,"Aetideopsis rostrata",408
"Aetideus arcuatus",0.00915399069555199,0.0269929225873704,0.00404635232045307,70,"Aetideus arcuatus",412
"Aetideus divergens",0.0358311872567737,0.0500676589986468,0.00946531155318116,334,"Aetideus divergens",416
"Aetideus pacificus",0.034956268824928,0.0520430107526882,0.0100231812683466,437,"Pseudochirella pacifica",1921
"Agalma elegans",1.52330569561281,1.6003963011889,0.216044251776001,115,"Agalma elegans",5004
"Aglantha",2.04014708249167,3.22069754145226,0.634373641711005,1529,"Aglantha",3078
"Aglaura hemistoma",1.05359736044046,1.90007733952049,0.774771039657327,14,"Aglaura hemistoma",3081
"Alacia alata",0.300001771693798,0.300028145229384,2.38317433524778e-05,4,"Alacia alata",4362
"Alacia minor",0.100000080364825,0.100101368474404,1.45785363593175e-05,101,"Alacia minor",4367
"Alacia pseudoalata",0.399996799905791,0.400099034414459,2.44776167296772e-05,147,"Alacia major",4366
"Alienacanthomysis macropsis",1.60602413052564,2.36035242290749,0.55426912525732,18,"Alienacanthomysis macropsis",3465
