fungrp10,fungrp9,fungrp8,fungrp7,fungrp6,fungrp5,fungrp4,fungrp3,fungrp2
FG1,FG1_FG2,FG1_FG2,FG1_FG2,FG1_FG2,FG1_FG2,FG1_FG4,FG1_FG4,FG1_FG7
FG1,FG1_FG2,FG1_FG2,FG1_FG2,FG1_FG2,FG1_FG2,FG1_FG4,FG1_FG4,FG1_FG7
FG2,FG1_FG2,FG1_FG2,FG1_FG2,FG1_FG2,FG1_FG2,FG1_FG4,FG1_FG4,FG1_FG7
FG3,FG3,FG3,FG3_FG4,FG3_FG4,FG3_FG4,FG1_FG4,FG1_FG4,FG1_FG7
FG4,FG4,FG4,FG3_FG4,FG3_FG4,FG3_FG4,FG1_FG4,FG1_FG4,FG1_FG7
FG5,FG5,FG5_FG6,FG5_FG6,FG5_FG6,FG5_FG7,FG5_FG7,FG5_FG7,FG1_FG7
FG6,FG6,FG5_FG6,FG5_FG6,FG5_FG6,FG5_FG7,FG5_FG7,FG5_FG7,FG1_FG7
FG7,FG7,FG7,FG7,FG7,FG5_FG7,FG5_FG7,FG5_FG7,FG1_FG7
FG8,FG8,FG8,FG8,FG8,FG8,FG8,FG8_FG10,FG8_FG10
FG9,FG9,FG9,FG9,FG9_FG10,FG9_FG10,FG9_FG10,FG8_FG10,FG8_FG10
FG10,FG10,FG10,FG10,FG9_FG10,FG9_FG10,FG9_FG10,FG8_FG10,FG8_FG10
