ID,Species,Dend.Order,OG.taxa.order,fungrp.og,fungrp
29,Paracalanus indicus,110,115,1,1
28,Acartia danae,2,114,1,1
27,Lucicutia flavicornis,76,113,1,1
26,Calocalanus tenuis,25,112,1,1
25,Paracalanus quasimodo,112,111,1,1
24,Calocalanus pavoninus,23,110,1,1
23,Ctenocalanus vanus,43,109,1,1
22,Microcalanus pygmaeus,87,108,1,1
21,Microcalanus pusillus,86,107,1,1
20,Calocalanus styliremis,24,106,1,1
19,Acartia hudsonica,3,105,1,1
18,Spinocalanus longicornis,144,104,1,1
17,Scolecithricella minor,140,103,1,1
16,Paracalanus parvus,111,102,1,1
15,Acartia longiremis,4,101,1,1
14,Mesocalanus tenuicornis,78,100,1,1
13,Centropages abdominalis,28,99,1,1
12,Clausocalanus lividus,31,98,1,1
11,Aetideus divergens,9,97,1,1
10,Acartia arbruta,1,96,1,1
8,Calanus pacificus,21,94,1,1
9,Limacina helicina,74,95,1,1
7,Doliopsis,50,93,1,1
6,Doliolidae,49,92,1,1
5,Oikopleura labradoriensis,100,91,1,1
4,Oikopleura longicauda,101,90,1,1
3,Oikopleura dioica,99,89,1,1
2,Fritillaria pellucida,62,88,1,1
1,Fritillaria borealis,61,87,1,1
71,Salpa fusiformis,133,86,9,2
70,Cyclosalpa bakeri,44,85,9,2
69,Salpa aspera,132,84,9,2
68,Thysanoessa gregaria,148,163,6,3
67,Euphausia pacifica,58,162,6,3
66,Thysanoessa spinifera,153,161,6,3
65,Thysanoessa raschii,152,160,6,3
64,Thysanoessa inermis,149,159,6,3
63,Thysanoessa longipes,151,158,6,3
62,Tessarabrachion oculatum,146,157,6,3
61,Thysanoessa inspinata,150,156,6,3
60,Eucalanus hyalinus,54,155,6,3
59,Eucalanus californicus,53,154,6,3
58,Neocalanus flemingeri,95,153,6,3
57,Neocalanus plumchrus,96,152,6,3
56,Neocalanus cristatus,94,151,6,3
55,Pleuromamma,119,150,6,3
54,Eucalanus bungii,52,149,6,3
53,Calanus marshallae,20,148,6,3
52,Gaetanus pungens,64,147,6,3
51,Gaetanus minutus,63,146,6,3
50,Metridia okhotensis,83,145,6,3
80,Metridia pseudopacifica,85,124,4,4
79,Metridia pacifica,84,123,4,4
78,Scaphocalanus echinatus,137,122,4,4
77,Racovitzanus antarcticus,131,121,4,4
76,Scaphocalanus brevicornis,136,120,4,4
75,Spinocalanus brevicaudatus,143,119,4,4
74,Tortanus discaudatus,158,118,4,4
73,Aetideus arcuatus,8,117,4,4
72,Aetideus pacificus,10,116,4,4
