"Trait","Offshore","DeepShelf","Nearshore","DeepFjord"
"Body length","17.64 ± 7.05","16.03 ± 8.42","18.06 ± 16.75","12.8 ± 5.43"
"Dry weight","2.81 ± 1.74","3.74 ± 2.9","6.46 ± 10.14","2.47 ± 2.31"
"Water content","82.84 ± 3.71","82.27 ± 3.46","86.1 ± 4.72","81.19 ± 2.62"
"Carbon weight","0.88 ± 0.49","1.11 ± 0.88","0.93 ± 1.08","0.79 ± 0.44"
"Nitrogen weight","0.2 ± 0.12","0.24 ± 0.2","0.26 ± 0.47","0.18 ± 0.13"
"Phosphorus weight","0.016 ± 0.011","0.021 ± 0.021","0.009 ± 0.014","0.015 ± 0.01"
"Carbon content","39.79 ± 5.61","42.53 ± 6.78","36.08 ± 12.15","42.84 ± 5.33"
"Nitrogen content","8.14 ± 0.96","8.77 ± 1.48","7.77 ± 2.61","8.86 ± 1.12"
"Phosphorus content","0.59 ± 0.11","0.65 ± 0.17","0.49 ± 0.21","0.7 ± 0.13"
"C:N","5.77 ± 0.6","5.86 ± 0.6","5.32 ± 0.69","5.72 ± 0.7"
"C:P","200.31 ± 34.02","197.64 ± 42.19","223.35 ± 60.36","171.49 ± 33.76"
"N:P","38.49 ± 6.1","38.2 ± 7.13","41.95 ± 7.5","34.3 ± 5.27"
"Ind. respiration rate","3.43 ± 1.91","3.16 ± 2.25","2.61 ± 2.16","2.27 ± 1.15"
"Ws. respiration rate","4.23 ± 1.18","3.3 ± 0.67","4.39 ± 1.1","3.68 ± 0.75"
"Ind. ammonium
excretion rate","0.15 ± 0.06","0.17 ± 0.11","0.2 ± 0.23","0.11 ± 0.06"
"Ws. ammonium
excretion rate","0.11 ± 0.06","0.11 ± 0.06","0.28 ± 0.3","0.12 ± 0.1"
"Ind. phosphate
excretion rate","0.03 ± 0.02","0.04 ± 0.03","0.04 ± 0.05","0.02 ± 0.01"
"Ws. phosphate
excretion rate","0.02 ± 0.01","0.02 ± 0.01","0.04 ± 0.04","0.03 ± 0.01"
"Ind. clearance rate","75.01 ± 150.77","95.18 ± 240.33","531.18 ± 1630.68","99.7 ± 296.56"
"Ws. clearance rate","98.9 ± 62.14","91.74 ± 72.19","258.63 ± 235.87","96.76 ± 73.38"
"Prop. current feeders","0.26 ± 0.16","0.18 ± 0.13","0.22 ± 0.14","0.16 ± 0.12"
"Prop. cruise feeders","0.8 ± 0.16","0.85 ± 0.12","0.87 ± 0.13","0.78 ± 0.15"
"Prop. active
ambush feeders","0.2 ± 0.16","0.15 ± 0.12","0.13 ± 0.13","0.22 ± 0.15"
"Prop. passive
ambush feeders","0.37 ± 0.19","0.25 ± 0.19","0.39 ± 0.28","0.32 ± 0.18"
"Prop. herbivores","0.1 ± 0.08","0.1 ± 0.12","0.2 ± 0.21","0.27 ± 0.17"
"Prop. omnivores","0.56 ± 0.21","0.69 ± 0.2","0.5 ± 0.27","0.51 ± 0.23"
"Prop. carnivores","0.018 ± 0.023","0.003 ± 0.007","0.001 ± 0.005","0.035 ± 0.04"
"Prop. detritivores","0.18 ± 0.12","0.26 ± 0.16","0.26 ± 0.16","0.11 ± 0.09"
"Prop. broadcast
spawning","0.43 ± 0.17","0.49 ± 0.21","0.35 ± 0.2","0.54 ± 0.2"
"Prop. brood
spawning","0.09 ± 0.14","0.03 ± 0.07","0.08 ± 0.12","0.06 ± 0.09"
