"Metric","fungrp","Offshore","DeepShelf","Nearshore","DeepFjord"
"Abundance.Total",NA,"54837 ± 63907","85613 ± 80153","79196 ± 75369","150195 ± 124159"
"Biomass.Total",NA,"7191 ± 7434","7918 ± 13728","3675 ± 6055","18260 ± 24611"
"Abundance.m2",1,"15910 ± 25501","27000 ± 33455","37656 ± 47684","36439 ± 44031"
"Abundance.m2",2,"25 ± 108","6 ± 45","0 ± 3","0 ± 0"
"Abundance.m2",3,"4879 ± 8633","8487 ± 13759","3533 ± 8480","10420 ± 15051"
"Abundance.m2",4,"2767 ± 3069","1437 ± 2939","707 ± 2511","24913 ± 30429"
"Abundance.m2",5,"355 ± 807","66 ± 147","225 ± 746","593 ± 960"
"Abundance.m2",6,"321 ± 453","526 ± 1230","379 ± 752","602 ± 858"
"Abundance.m2",7,"92 ± 354","31 ± 135","182 ± 567","469 ± 789"
"Abundance.m2",8,"29298 ± 44648","47577 ± 53988","32958 ± 38887","69655 ± 68714"
"Abundance.m2",9,"186 ± 1036","12 ± 86","9 ± 87","371 ± 759"
"Abundance.m2",10,"1002 ± 1708","470 ± 1144","3546 ± 10233","6732 ± 10668"
"Biomass.mg.m2",1,"619 ± 1323","342 ± 549","641 ± 749","1120 ± 1608"
"Biomass.mg.m2",2,"116 ± 526","27 ± 272","1 ± 12","0 ± 5"
"Biomass.mg.m2",3,"3804 ± 5964","5606 ± 13005","1290 ± 5250","10477 ± 22792"
"Biomass.mg.m2",4,"269 ± 314","109 ± 238","32 ± 117","2247 ± 2912"
"Biomass.mg.m2",5,"627 ± 1745","481 ± 1230","860 ± 1799","738 ± 1030"
"Biomass.mg.m2",6,"392 ± 430","424 ± 984","223 ± 500","439 ± 639"
"Biomass.mg.m2",7,"115 ± 261","225 ± 1374","269 ± 679","291 ± 508"
"Biomass.mg.m2",8,"154 ± 347","380 ± 468","267 ± 362","364 ± 405"
"Biomass.mg.m2",9,"298 ± 1349","25 ± 197","16 ± 142","77 ± 161"
"Biomass.mg.m2",10,"797 ± 1186","299 ± 641","76 ± 246","2507 ± 2504"
"Percent.Abundance",1,"27.99 ± 17.4","33.42 ± 20.5","47.44 ± 23.7","23.82 ± 14.3"
"Percent.Abundance",2,"0.21 ± 1.8","0.02 ± 0.1","0 ± 0","0 ± 0"
"Percent.Abundance",3,"11.72 ± 14.9","10.25 ± 10.7","3.96 ± 7.2","6.85 ± 7.5"
"Percent.Abundance",4,"7.09 ± 7.4","1.97 ± 3.2","1.04 ± 2.4","17.98 ± 14.3"
"Percent.Abundance",5,"1.14 ± 2.4","0.1 ± 0.2","0.5 ± 1.4","0.51 ± 0.9"
"Percent.Abundance",6,"0.9 ± 1.3","0.94 ± 1.6","0.69 ± 1.5","0.5 ± 0.7"
"Percent.Abundance",7,"0.3 ± 1","0.06 ± 0.2","0.61 ± 2.3","0.48 ± 1.4"
"Percent.Abundance",8,"46.98 ± 20.8","52.41 ± 21.6","39.26 ± 22.9","44.43 ± 17"
"Percent.Abundance",9,"0.7 ± 3.8","0.03 ± 0.4","0.03 ± 0.4","0.24 ± 0.5"
"Percent.Abundance",10,"2.95 ± 4.1","0.8 ± 2.3","6.47 ± 12.4","5.2 ± 7.7"
"Percent.Biomass",1,"9.71 ± 11.3","8.72 ± 10.2","28.8 ± 24","9.93 ± 11.5"
"Percent.Biomass",2,"1.76 ± 6.8","0.65 ± 4.5","0.07 ± 0.9","0 ± 0.1"
"Percent.Biomass",3,"43.71 ± 24","54.44 ± 24.3","18.73 ± 22.5","40.49 ± 25.8"
"Percent.Biomass",4,"4.85 ± 4.9","1.93 ± 3","1.08 ± 2.3","14.89 ± 12.1"
"Percent.Biomass",5,"9.34 ± 9.7","7.67 ± 13","21.02 ± 25.1","6.51 ± 11.4"
"Percent.Biomass",6,"8.4 ± 9.8","8.14 ± 9.4","7.44 ± 11.1","3.54 ± 5.1"
"Percent.Biomass",7,"2.07 ± 3.5","3.69 ± 8.1","9.71 ± 17","2.71 ± 4.3"
"Percent.Biomass",8,"2.9 ± 5","9.32 ± 10.1","10.19 ± 11","3.68 ± 5.7"
"Percent.Biomass",9,"4.19 ± 12.7","0.4 ± 3","0.51 ± 4","0.51 ± 0.9"
"Percent.Biomass",10,"13.07 ± 10.7","5.03 ± 7.6","2.45 ± 5.2","17.74 ± 13.2"
